epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,778.75,0.40267,1.32662,2.02107,0.61878,0.71299,0.55794,0.22088,0.48826,1.46827,2.42537,0.00191014,0.00191014,0.00191014
43,796.97,0.38952,1.26363,1.98063,0.80463,0.83178,0.84663,0.35602,0.47979,1.24463,2.40554,0.00190578,0.00190578,0.00190578
44,815.285,0.41689,1.30903,2.07529,0.76455,0.80374,0.76527,0.33121,0.48284,1.28278,2.31725,0.00190132,0.00190132,0.00190132
45,833.589,0.39182,1.30479,1.96829,0.80492,0.86916,0.85533,0.33674,0.47016,1.2577,2.33382,0.00189675,0.00189675,0.00189675
46,851.837,0.39124,1.2346,1.99068,0.47542,0.73832,0.55508,0.18871,0.49161,1.76819,2.59113,0.0018921,0.0018921,0.0018921
47,870.057,0.37871,1.24235,1.96464,0.93297,0.78056,0.87263,0.41927,0.46221,1.19067,2.27988,0.00188734,0.00188734,0.00188734
48,888.431,0.38232,1.14702,1.94176,0.82554,0.82243,0.839,0.35839,0.46665,1.18593,2.29361,0.00188249,0.00188249,0.00188249
49,906.825,0.38014,1.22753,1.90722,0.7574,0.74766,0.75536,0.30519,0.49684,1.33216,2.36874,0.00187754,0.00187754,0.00187754
50,925.304,0.38152,1.19956,1.9522,0.83431,0.86916,0.85973,0.34013,0.48773,1.19266,2.39488,0.0018725,0.0018725,0.0018725
51,943.602,0.38873,1.18893,1.94853,0.74981,0.86916,0.78519,0.32805,0.47867,1.25007,2.33253,0.00186737,0.00186737,0.00186737
52,961.902,0.39995,1.21412,2.02355,0.7702,0.8785,0.83328,0.30525,0.49851,1.25313,2.40103,0.00186213,0.00186213,0.00186213
53,980.114,0.40524,1.18831,2.05469,0.77356,0.81308,0.80668,0.32718,0.46667,1.35736,2.46059,0.00185681,0.00185681,0.00185681
54,998.37,0.38061,1.15954,1.92353,0.8292,0.86916,0.84376,0.30661,0.47121,1.07976,2.50041,0.00185139,0.00185139,0.00185139
55,1016.61,0.37931,1.13602,1.96315,0.87418,0.84414,0.87829,0.36043,0.47171,1.15644,2.33882,0.00184588,0.00184588,0.00184588
56,1034.85,0.39192,1.14425,1.97671,0.8458,0.82024,0.85877,0.33742,0.48939,1.15519,2.52556,0.00184028,0.00184028,0.00184028
57,1053.12,0.38535,1.14691,1.9843,0.88666,0.84112,0.86345,0.3647,0.48124,1.13701,2.50635,0.00183459,0.00183459,0.00183459
58,1071.38,0.37033,1.13984,1.91661,0.84784,0.88529,0.87388,0.39034,0.47399,1.15567,2.28204,0.00182881,0.00182881,0.00182881
59,1089.6,0.3618,1.07596,1.85635,0.75322,0.76636,0.71375,0.28408,0.47918,1.23329,2.49736,0.00182294,0.00182294,0.00182294
60,1107.83,0.36388,1.05177,1.84931,0.92754,0.85981,0.89159,0.40762,0.45977,1.11247,2.29068,0.00181698,0.00181698,0.00181698
61,1126.12,0.3742,1.06036,1.90237,0.89146,0.84435,0.92229,0.40104,0.46304,1.19083,2.27324,0.00181093,0.00181093,0.00181093
62,1144.44,0.37891,1.10192,1.92271,0.91564,0.81155,0.88163,0.38038,0.47933,1.20104,2.33966,0.00180479,0.00180479,0.00180479
63,1162.68,0.37595,1.10901,1.91783,0.84904,0.84104,0.86119,0.37208,0.47096,1.2161,2.30943,0.00179856,0.00179856,0.00179856
64,1180.97,0.36326,1.06926,1.8493,0.7354,0.82243,0.77375,0.2979,0.4912,1.14994,2.42429,0.00179225,0.00179225,0.00179225
65,1199.19,0.36343,1.06317,1.88495,0.87756,0.85981,0.87518,0.34744,0.47573,1.02936,2.43755,0.00178586,0.00178586,0.00178586
66,1217.54,0.36687,1.05558,1.87057,0.81338,0.8554,0.81566,0.38166,0.45972,1.06439,2.36509,0.00177937,0.00177937,0.00177937
67,1235.68,0.3639,1.09748,1.87739,0.74165,0.85855,0.76443,0.33109,0.47134,1.14517,2.37584,0.00177281,0.00177281,0.00177281
68,1253.97,0.36177,1.05467,1.86777,0.82084,0.85981,0.8999,0.38894,0.46713,1.09274,2.24269,0.00176616,0.00176616,0.00176616
69,1272.28,0.37004,1.02029,1.90794,0.79534,0.81308,0.83759,0.35292,0.4844,1.21162,2.41232,0.00175943,0.00175943,0.00175943
70,1290.53,0.35326,0.99716,1.83842,0.87169,0.85981,0.87578,0.40181,0.46543,1.15897,2.32356,0.00175261,0.00175261,0.00175261
71,1308.75,0.357,1.00099,1.83959,0.91796,0.86916,0.90598,0.36964,0.48392,1.10783,2.45382,0.00174571,0.00174571,0.00174571
72,1326.98,0.35997,1.0062,1.8529,0.91248,0.88785,0.91412,0.42708,0.45909,1.14672,2.33162,0.00173874,0.00173874,0.00173874
73,1345.33,0.37306,1.05388,1.87294,0.90609,0.90172,0.91606,0.40256,0.48628,1.10295,2.30793,0.00173168,0.00173168,0.00173168
74,1363.71,0.35232,0.99294,1.82433,0.8033,0.86916,0.87895,0.39257,0.46644,1.17245,2.31033,0.00172454,0.00172454,0.00172454
75,1382,0.35954,1.02315,1.816,0.82715,0.85981,0.83679,0.38188,0.48814,1.15196,2.37648,0.00171733,0.00171733,0.00171733
76,1400.36,0.35247,0.95672,1.83686,0.93416,0.90654,0.93486,0.42741,0.48115,1.14692,2.31499,0.00171004,0.00171004,0.00171004
77,1418.74,0.37676,1.01916,1.88885,0.89569,0.85047,0.88138,0.39131,0.46983,1.1912,2.32707,0.00170267,0.00170267,0.00170267
78,1437.02,0.35663,1.03377,1.8535,0.61204,0.83178,0.69558,0.30601,0.47916,1.40947,2.34914,0.00169522,0.00169522,0.00169522
79,1455.29,0.36289,1.00376,1.87239,0.86727,0.82243,0.86919,0.40369,0.46413,1.16256,2.31333,0.0016877,0.0016877,0.0016877
80,1473.63,0.35852,1.04123,1.83831,0.95834,0.85991,0.93726,0.43257,0.45738,1.0639,2.22362,0.00168011,0.00168011,0.00168011
81,1492.03,0.37331,1.00559,1.87776,0.91125,0.8637,0.89437,0.40007,0.47032,1.1172,2.26892,0.00167244,0.00167244,0.00167244
82,1510.35,0.36555,1.02612,1.85043,0.81352,0.90654,0.87208,0.38451,0.45651,1.10114,2.31186,0.0016647,0.0016647,0.0016647
83,1528.69,0.35285,0.97467,1.82272,0.88038,0.89421,0.89089,0.39754,0.471,1.08729,2.33137,0.00165689,0.00165689,0.00165689
84,1547.07,0.34195,0.95951,1.77734,0.94172,0.85981,0.93736,0.46004,0.44124,1.0189,2.20561,0.001649,0.001649,0.001649
85,1565.44,0.36311,0.93053,1.88495,0.93282,0.88785,0.93088,0.408,0.49748,1.05144,2.39661,0.00164105,0.00164105,0.00164105
86,1583.69,0.35945,1.00725,1.8417,0.92362,0.86916,0.92788,0.44542,0.45474,0.99357,2.29229,0.00163303,0.00163303,0.00163303
87,1601.98,0.34804,0.94471,1.84314,0.89305,0.88785,0.91138,0.41396,0.45753,0.98327,2.33166,0.00162494,0.00162494,0.00162494
88,1620.25,0.35841,0.95707,1.83368,0.88631,0.91589,0.9129,0.3889,0.50155,1.01269,2.43191,0.00161678,0.00161678,0.00161678
89,1638.54,0.35178,0.96617,1.82045,0.92783,0.82243,0.92537,0.43025,0.47714,1.00134,2.34071,0.00160855,0.00160855,0.00160855
90,1656.8,0.34938,0.95039,1.78218,0.87107,0.85981,0.90311,0.40412,0.47573,1.07705,2.30289,0.00160026,0.00160026,0.00160026
91,1675.11,0.34559,0.97006,1.8021,0.81792,0.88162,0.88712,0.40965,0.46491,1.01665,2.3051,0.00159191,0.00159191,0.00159191
92,1693.52,0.35271,0.95753,1.83025,0.88333,0.8785,0.90203,0.42705,0.46236,1.07809,2.28256,0.00158349,0.00158349,0.00158349
93,1712.24,0.33962,0.92416,1.74149,0.89636,0.85981,0.89856,0.44139,0.45698,1.09099,2.25588,0.00157501,0.00157501,0.00157501
94,1730.52,0.34195,0.95245,1.76308,0.85075,0.90565,0.90224,0.39336,0.47132,1.05778,2.43145,0.00156646,0.00156646,0.00156646
95,1748.72,0.34725,0.95455,1.80019,0.88141,0.85047,0.89257,0.41034,0.47471,1.0184,2.34833,0.00155786,0.00155786,0.00155786
96,1767.08,0.32736,0.86327,1.73977,0.8523,0.85981,0.87172,0.41011,0.47708,1.09584,2.35525,0.00154919,0.00154919,0.00154919
97,1785.36,0.33758,0.91873,1.7868,0.864,0.89062,0.91377,0.41075,0.47344,1.01652,2.31248,0.00154047,0.00154047,0.00154047
98,1803.87,0.33707,0.90432,1.76126,0.9298,0.86654,0.93124,0.43984,0.46401,1.02482,2.26385,0.00153169,0.00153169,0.00153169
99,1822.1,0.33576,0.89719,1.76844,0.91955,0.86916,0.93491,0.41984,0.49136,1.03371,2.40272,0.00152285,0.00152285,0.00152285
100,1840.39,0.34477,0.86526,1.79781,0.92416,0.85047,0.90611,0.40999,0.46336,0.98895,2.35615,0.00151395,0.00151395,0.00151395
101,1858.71,0.32835,0.92189,1.74385,0.83722,0.92523,0.88517,0.39963,0.47754,0.93646,2.39084,0.001505,0.001505,0.001505
102,1876.85,0.34253,0.90672,1.76324,0.90375,0.87756,0.94983,0.43993,0.47327,0.97899,2.39291,0.00149599,0.00149599,0.00149599
103,1895.15,0.34045,0.87548,1.78189,0.85119,0.85532,0.88804,0.41038,0.47862,0.9998,2.35883,0.00148694,0.00148694,0.00148694
104,1913.56,0.33209,0.91748,1.7551,0.80629,0.86916,0.84287,0.39855,0.47651,1.09422,2.34414,0.00147783,0.00147783,0.00147783
105,1931.94,0.33563,0.87869,1.77678,0.93596,0.85981,0.90643,0.41212,0.50243,1.08906,2.39711,0.00146866,0.00146866,0.00146866
106,1950.24,0.3352,0.88068,1.75796,0.91083,0.91589,0.93048,0.41365,0.47144,1.0239,2.30723,0.00145945,0.00145945,0.00145945
107,1968.5,0.3424,0.8735,1.75772,0.8808,0.91589,0.9133,0.4116,0.45925,1.00627,2.299,0.00145019,0.00145019,0.00145019
108,1986.83,0.33574,0.84359,1.73274,0.91503,0.90581,0.92343,0.39693,0.48979,0.99955,2.40523,0.00144088,0.00144088,0.00144088
109,2005.2,0.33564,0.91086,1.75996,0.96419,0.86916,0.9467,0.4317,0.46835,0.98563,2.32895,0.00143152,0.00143152,0.00143152
110,2023.49,0.34026,0.8797,1.77525,0.95105,0.91589,0.94251,0.41396,0.48063,0.99922,2.34791,0.00142212,0.00142212,0.00142212
111,2041.81,0.33853,0.91937,1.76217,0.87035,0.84112,0.87216,0.37996,0.48135,1.02856,2.3872,0.00141267,0.00141267,0.00141267
112,2060.09,0.32745,0.84294,1.68354,0.95688,0.8785,0.95467,0.42022,0.47886,1.04086,2.37624,0.00140318,0.00140318,0.00140318
113,2078.31,0.33072,0.87662,1.75503,0.84098,0.85047,0.88399,0.37626,0.49066,1.06682,2.38058,0.00139364,0.00139364,0.00139364
114,2096.68,0.33049,0.9232,1.72983,0.8701,0.8972,0.89711,0.42489,0.46255,0.9766,2.30131,0.00138406,0.00138406,0.00138406
115,2114.97,0.33783,0.86087,1.76915,0.89542,0.88026,0.91382,0.41559,0.48491,0.99558,2.31876,0.00137444,0.00137444,0.00137444
116,2133.27,0.33943,0.88209,1.74256,0.88594,0.85981,0.89964,0.39952,0.49185,1.04241,2.35652,0.00136478,0.00136478,0.00136478
117,2151.57,0.33556,0.85848,1.76891,0.94935,0.88785,0.95109,0.41988,0.47131,0.99474,2.31195,0.00135509,0.00135509,0.00135509
118,2169.82,0.32655,0.8084,1.71694,0.93953,0.92523,0.96968,0.42053,0.48717,0.93028,2.36392,0.00134535,0.00134535,0.00134535
