epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,494.501,0.19862,1.01017,1.31466,0.83657,0.71963,0.7456,0.33677,0.24946,1.37804,1.56378,0.00191014,0.00191014,0.00191014
43,505.98,0.20339,0.97685,1.31657,0.93848,0.85047,0.88255,0.37833,0.24632,1.13447,1.55233,0.00190578,0.00190578,0.00190578
44,517.465,0.19575,1.00404,1.29737,0.90841,0.83178,0.89313,0.39666,0.24275,1.10252,1.57699,0.00190132,0.00190132,0.00190132
45,528.947,0.19496,0.98864,1.29833,0.83687,0.79439,0.8253,0.34305,0.24466,1.21788,1.54174,0.00189675,0.00189675,0.00189675
46,540.548,0.19774,0.96784,1.32102,0.78696,0.86309,0.83035,0.34837,0.24489,1.08367,1.56144,0.0018921,0.0018921,0.0018921
47,552.06,0.18721,0.95618,1.27738,0.90884,0.83862,0.89941,0.42084,0.23698,1.04264,1.52458,0.00188734,0.00188734,0.00188734
48,563.714,0.19103,0.93268,1.27978,0.91415,0.84112,0.8814,0.40966,0.23259,1.10308,1.51061,0.00188249,0.00188249,0.00188249
49,575.291,0.19335,0.94604,1.28278,0.89351,0.86264,0.88037,0.38943,0.25064,1.04896,1.54274,0.00187754,0.00187754,0.00187754
50,586.875,0.19202,0.9197,1.29969,0.90079,0.84112,0.86827,0.37783,0.25163,1.09433,1.63687,0.0018725,0.0018725,0.0018725
51,598.401,0.19686,0.95089,1.29785,0.81909,0.85981,0.82904,0.35317,0.23792,1.05576,1.55699,0.00186737,0.00186737,0.00186737
52,609.991,0.20567,0.97646,1.32656,0.88091,0.89874,0.89461,0.35801,0.26132,1.08641,1.65235,0.00186213,0.00186213,0.00186213
53,621.639,0.20032,0.98765,1.3265,0.7823,0.80605,0.76603,0.34424,0.23552,1.14981,1.55155,0.00185681,0.00185681,0.00185681
54,633.154,0.18821,0.95844,1.25329,0.87776,0.85981,0.87336,0.36306,0.24481,1.0304,1.63827,0.00185139,0.00185139,0.00185139
55,644.663,0.18831,0.95525,1.27525,0.82005,0.83178,0.82658,0.32221,0.2507,1.16364,1.63394,0.00184588,0.00184588,0.00184588
56,656.189,0.19549,0.97114,1.29524,0.84049,0.79439,0.81307,0.36787,0.24041,1.16748,1.57957,0.00184028,0.00184028,0.00184028
57,667.895,0.1874,0.96042,1.27967,0.89743,0.84112,0.90441,0.3973,0.26378,1.05855,1.69661,0.00183459,0.00183459,0.00183459
58,679.504,0.18552,0.93361,1.2415,0.94807,0.82243,0.90549,0.42231,0.23133,1.07251,1.52132,0.00182881,0.00182881,0.00182881
59,691.154,0.18987,0.92956,1.26936,0.93746,0.85047,0.89199,0.40019,0.23883,1.09019,1.56803,0.00182294,0.00182294,0.00182294
60,702.567,0.18214,0.8759,1.2309,0.77569,0.93458,0.82599,0.33633,0.23978,1.09046,1.51925,0.00181698,0.00181698,0.00181698
61,714.032,0.18737,0.8756,1.285,0.88402,0.88785,0.92386,0.41292,0.24477,1.00808,1.53681,0.00181093,0.00181093,0.00181093
62,725.548,0.1922,0.93632,1.30006,0.91642,0.81981,0.87807,0.36865,0.25568,1.12344,1.61835,0.00180479,0.00180479,0.00180479
63,737.071,0.19817,0.95942,1.30315,0.84531,0.80374,0.82281,0.3542,0.24378,1.09425,1.52504,0.00179856,0.00179856,0.00179856
64,748.543,0.1837,0.89305,1.26595,0.86416,0.7757,0.80824,0.36243,0.23862,1.23809,1.61226,0.00179225,0.00179225,0.00179225
65,760.087,0.17675,0.87886,1.22684,0.90393,0.8972,0.91228,0.40562,0.24441,0.99069,1.53652,0.00178586,0.00178586,0.00178586
66,771.665,0.18579,0.8725,1.25342,0.86494,0.84112,0.85516,0.33403,0.25433,1.04762,1.60742,0.00177937,0.00177937,0.00177937
67,783.269,0.18204,0.90686,1.2584,0.86973,0.79439,0.84518,0.33405,0.24956,1.08197,1.67564,0.00177281,0.00177281,0.00177281
68,794.897,0.18414,0.90491,1.24604,0.92083,0.8785,0.89629,0.37793,0.25512,1.03246,1.64271,0.00176616,0.00176616,0.00176616
