epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1302.08,1.59213,1.02895,1.3099,0.92809,0.7238,0.81616,0.39321,1.76654,1.04482,1.53915,0.00191014,0.00191014,0.00191014
43,1332.61,1.5605,0.94368,1.2915,0.95437,0.84112,0.89184,0.42812,1.73963,0.99414,1.53272,0.00190578,0.00190578,0.00190578
44,1363.91,1.53936,0.97717,1.30647,0.93635,0.82487,0.88712,0.41161,1.74533,1.00818,1.50702,0.00190132,0.00190132,0.00190132
45,1395.14,1.58402,1.02836,1.3368,0.89996,0.84073,0.88121,0.40267,1.78095,0.99179,1.53062,0.00189675,0.00189675,0.00189675
46,1426.16,1.61606,1.02437,1.32693,0.88364,0.8785,0.88442,0.40031,1.76003,1.06656,1.52381,0.0018921,0.0018921,0.0018921
47,1457.25,1.54466,0.9891,1.30448,0.93149,0.78505,0.87508,0.41217,1.75476,1.02117,1.54031,0.00188734,0.00188734,0.00188734
48,1488.19,1.51506,0.94584,1.28979,0.94252,0.82243,0.88222,0.41774,1.70816,1.00989,1.52097,0.00188249,0.00188249,0.00188249
49,1518.4,1.54068,0.98205,1.28372,0.95204,0.74214,0.84036,0.39194,1.70971,1.10999,1.49501,0.00187754,0.00187754,0.00187754
50,1549.31,1.5189,0.92938,1.27571,0.97642,0.82243,0.90011,0.42334,1.73843,1.0199,1.52556,0.0018725,0.0018725,0.0018725
51,1579.61,1.58225,0.97108,1.33467,0.87289,0.77016,0.84447,0.4144,1.7681,1.03958,1.55772,0.00186737,0.00186737,0.00186737
52,1610.21,1.50558,0.91466,1.28042,0.92248,0.80374,0.88686,0.43384,1.69803,0.96171,1.50779,0.00186213,0.00186213,0.00186213
53,1640.53,1.60525,0.98736,1.31669,0.91729,0.81308,0.88579,0.42081,1.75798,0.9515,1.52318,0.00185681,0.00185681,0.00185681
54,1671.12,1.55009,0.95154,1.27298,0.88616,0.79439,0.83117,0.38647,1.81215,1.02304,1.55048,0.00185139,0.00185139,0.00185139
55,1701.2,1.58113,0.9322,1.34823,0.91244,0.83178,0.8917,0.43013,1.76884,0.93133,1.55427,0.00184588,0.00184588,0.00184588
56,1731.44,1.57091,0.94034,1.32201,0.92269,0.89237,0.92693,0.41439,1.77666,0.92839,1.53224,0.00184028,0.00184028,0.00184028
57,1761.64,1.53138,0.98394,1.32082,0.91889,0.81308,0.88284,0.40016,1.89855,0.96363,1.61859,0.00183459,0.00183459,0.00183459
58,1791.82,1.55761,0.91739,1.30314,0.92488,0.85981,0.90645,0.40939,1.79092,0.98449,1.5367,0.00182881,0.00182881,0.00182881
59,1821.17,1.53413,0.946,1.29392,0.93862,0.86916,0.91437,0.43826,1.74551,0.91467,1.49486,0.00182294,0.00182294,0.00182294
60,1850.7,1.53443,0.93251,1.27415,0.8927,0.8553,0.8908,0.40251,1.75116,0.97735,1.53412,0.00181698,0.00181698,0.00181698
61,1881.42,1.50867,0.94294,1.28522,0.94331,0.77752,0.87488,0.41367,1.72145,1.01165,1.48607,0.00181093,0.00181093,0.00181093
62,1911.7,1.54777,0.91295,1.31931,0.90553,0.82243,0.91764,0.40443,1.77128,0.94324,1.53525,0.00180479,0.00180479,0.00180479
63,1941.45,1.49883,0.86902,1.2822,0.92247,0.78505,0.84566,0.40184,1.74168,1.06092,1.54062,0.00179856,0.00179856,0.00179856
64,1972.75,1.49286,0.89835,1.27306,0.86806,0.86087,0.88983,0.42289,1.74475,0.93759,1.55101,0.00179225,0.00179225,0.00179225
65,2003.81,1.51652,0.89382,1.26895,0.90648,0.81529,0.89582,0.41157,1.76165,0.98947,1.51619,0.00178586,0.00178586,0.00178586
66,2035.11,1.52406,0.88795,1.32571,0.92295,0.83178,0.89661,0.42134,1.6999,0.95563,1.48959,0.00177937,0.00177937,0.00177937
67,2066.34,1.52875,0.90843,1.29753,0.92344,0.90186,0.95934,0.42351,1.78925,0.86755,1.5455,0.00177281,0.00177281,0.00177281
68,2097.66,1.49823,0.9073,1.26999,0.94294,0.82243,0.90938,0.41875,1.74266,0.95898,1.52792,0.00176616,0.00176616,0.00176616
69,2127.63,1.49286,0.8716,1.28157,0.88459,0.91589,0.94727,0.44928,1.72296,0.86617,1.53877,0.00175943,0.00175943,0.00175943
70,2158.22,1.51859,0.95425,1.27585,0.94394,0.7757,0.88091,0.42758,1.70781,0.9989,1.47278,0.00175261,0.00175261,0.00175261
71,2188.9,1.48531,0.89027,1.22684,0.95538,0.80044,0.89507,0.43711,1.72175,0.97931,1.48901,0.00174571,0.00174571,0.00174571
72,2219.36,1.47541,0.86989,1.26401,0.96923,0.88307,0.94834,0.43476,1.70467,0.87112,1.4982,0.00173874,0.00173874,0.00173874
73,2250.4,1.52822,0.88184,1.28539,0.9243,0.83178,0.86443,0.3901,1.81438,0.96298,1.57354,0.00173168,0.00173168,0.00173168
74,2281.49,1.4947,0.81387,1.28874,0.91311,0.84112,0.87639,0.41849,1.78581,0.93132,1.56743,0.00172454,0.00172454,0.00172454
75,2312.5,1.54414,0.87591,1.30437,0.92232,0.83178,0.90112,0.41598,1.7514,0.86335,1.56004,0.00171733,0.00171733,0.00171733
76,2342.85,1.52932,0.9033,1.33877,0.966,0.82243,0.91182,0.43468,1.74364,0.86666,1.56705,0.00171004,0.00171004,0.00171004
77,2374.11,1.49063,0.87442,1.27514,0.94602,0.81899,0.89161,0.45761,1.66077,0.94896,1.48736,0.00170267,0.00170267,0.00170267
